categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ABUFF,EMCH4,Gg,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,RO,5.929509059,4.798924354,4.058424431,3.963658072,3.83583368,3.852362696,3.785144697,3.564757815,3.46337985,3.362001884,3.162551756,3.085416347,3.171367231,3.192303985,3.106956947,4.084317077,3.683468584,2.920823534,2.7566051,2.757589714,2.372168356,1.960856463,1.90182433
4ABUFF,EMCH4,Gg,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,AT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,BG,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4ABUFF,IEFCH4,kg/head/yr,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,CZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,DE,-999,-999,-999,-999,-999,-999,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4ABUFF,IEFCH4,kg/head/yr,DE,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
4ABUFF,IEFCH4,kg/head/yr,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,GR,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4ABUFF,IEFCH4,kg/head/yr,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,HU,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4ABUFF,IEFCH4,kg/head/yr,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,IEFCH4,kg/head/yr,IT,62.92507703,64.09238265,63.6116013,66.68153433,66.72172697,64.35977949,63.57741477,64.03830695,63.14503117,66.06462862,66.80777408,69.74413976,67.99694933,67.57798294,69.6717394,72.26038354,70.91768494,68.25699892,66.81459973,65.01614254,64.68923584,65.59418373,65.72727839
4ABUFF,IEFCH4,kg/head/yr,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
